sheet,category,code,name,tier,unit_price,hours,equipment,hourly_rate,material_mark_up,description
HVAC,Service and Refrigerant Adjustment,ACR0205,Clean Evaporator Coil (In Place),MEMBER,620.15,0.75,26.20,865.00,40.31,"Clean evaporator in place using a foaming self rinsing cleaner, brush & vacuum."
HVAC,Service and Refrigerant Adjustment,ACR0205,Clean Evaporator Coil (In Place),STANDARD,689.06,0.75,26.20,865.00,40.31,"Clean evaporator in place using a foaming self rinsing cleaner, brush & vacuum."
HVAC,Service and Refrigerant Adjustment,ACR0205,Clean Evaporator Coil (In Place),RUMI,765.62,0.75,26.20,865.00,40.31,"Clean evaporator in place using a foaming self rinsing cleaner, brush & vacuum."
HVAC,Service and Refrigerant Adjustment,ACR0210,Clean Evaporator Coil (Remove),MEMBER,863.24,1,61.20,865.00,94.15,Clean evaporator by removing from plenum and cleaning. With coil still connected to refrigerant lines and pressurized.
HVAC,Service and Refrigerant Adjustment,ACR0210,Clean Evaporator Coil (Remove),STANDARD,959.15,1,61.20,865.00,94.15,Clean evaporator by removing from plenum and cleaning. With coil still connected to refrigerant lines and pressurized.
HVAC,Service and Refrigerant Adjustment,ACR0210,Clean Evaporator Coil (Remove),RUMI,1065.73,1,61.20,865.00,94.15,Clean evaporator by removing from plenum and cleaning. With coil still connected to refrigerant lines and pressurized.
HVAC,Service and Refrigerant Adjustment,ACR0210,Clean Evaporator Coil (Disconnect & Remove),MEMBER,1252.49,1.5,61.20,865.00,94.15,"Pump down refrigerant, remove coil & clean with chemical, re-install coil, re-connect drain line, pull vacuum, leak test, and recharge."
HVAC,Service and Refrigerant Adjustment,ACR0210,Clean Evaporator Coil (Disconnect & Remove),STANDARD,1391.65,1.5,61.20,865.00,94.15,"Pump down refrigerant, remove coil & clean with chemical, re-install coil, re-connect drain line, pull vacuum, leak test, and recharge."
HVAC,Service and Refrigerant Adjustment,ACR0210,Clean Evaporator Coil (Disconnect & Remove),RUMI,1546.28,1.5,61.20,865.00,94.15,"Pump down refrigerant, remove coil & clean with chemical, re-install coil, re-connect drain line, pull vacuum, leak test, and recharge."
HVAC,Service and Refrigerant Adjustment,ACR0215,De-Ice Evaporator Coil,MEMBER,202.93,0.25,6.00,865.00,9.23,De-ice evaporator coil using heat gun or gas furnace to expedite the diagnostic process.
HVAC,Service and Refrigerant Adjustment,ACR0215,De-Ice Evaporator Coil,STANDARD,225.48,0.25,6.00,865.00,9.23,De-ice evaporator coil using heat gun or gas furnace to expedite the diagnostic process.
HVAC,Service and Refrigerant Adjustment,ACR0215,De-Ice Evaporator Coil,RUMI,250.53,0.25,6.00,865.00,9.23,De-ice evaporator coil using heat gun or gas furnace to expedite the diagnostic process.
HVAC,Service and Refrigerant Adjustment,ACR0215,Clean Condenser Coil,MEMBER,414.45,0.5,18.20,865.00,28.00,Clean condenser coil on exposed surface
HVAC,Service and Refrigerant Adjustment,ACR0215,Clean Condenser Coil,STANDARD,460.50,0.5,18.20,865.00,28.00,Clean condenser coil on exposed surface
HVAC,Service and Refrigerant Adjustment,ACR0215,Clean Condenser Coil,RUMI,511.67,0.5,18.20,865.00,28.00,Clean condenser coil on exposed surface
HVAC,Service and Refrigerant Adjustment,ACR0240,Refrigerant Recharge 1 to 3 lbs R-410a,MEMBER,538.79,0.5,108.00,865.00,166.15,"Using available charts or superheat method, recharge unit using up to 3lbs R-410a"
HVAC,Service and Refrigerant Adjustment,ACR0240,Refrigerant Recharge 1 to 3 lbs R-410a,STANDARD,598.65,0.5,108.00,865.00,166.15,"Using available charts or superheat method, recharge unit using up to 3lbs R-410a"
HVAC,Service and Refrigerant Adjustment,ACR0240,Refrigerant Recharge 1 to 3 lbs R-410a,RUMI,665.17,0.5,108.00,865.00,166.15,"Using available charts or superheat method, recharge unit using up to 3lbs R-410a"
HVAC,Service and Refrigerant Adjustment,ACR0240,Refrigerant Recharge 3 to 6 lbs R-410a,MEMBER,861.59,0.75,216.00,865.00,308.57,"Using available charts or superheat method, recharge unit using up to 6lbs R-410a"
HVAC,Service and Refrigerant Adjustment,ACR0240,Refrigerant Recharge 3 to 6 lbs R-410a,STANDARD,957.32,0.75,216.00,865.00,308.57,"Using available charts or superheat method, recharge unit using up to 6lbs R-410a"
HVAC,Service and Refrigerant Adjustment,ACR0240,Refrigerant Recharge 3 to 6 lbs R-410a,RUMI,1063.69,0.75,216.00,865.00,308.57,"Using available charts or superheat method, recharge unit using up to 6lbs R-410a"
HVAC,Service and Refrigerant Adjustment,ACR0240,Refrigerant Recharge 6 to 9 lbs R-410a,MEMBER,1117.22,0.9,324.00,865.00,462.86,"Using available charts or superheat method, recharge unit using up to 9lbs R-410a"
HVAC,Service and Refrigerant Adjustment,ACR0240,Refrigerant Recharge 6 to 9 lbs R-410a,STANDARD,1241.36,0.9,324.00,865.00,462.86,"Using available charts or superheat method, recharge unit using up to 9lbs R-410a"
HVAC,Service and Refrigerant Adjustment,ACR0240,Refrigerant Recharge 6 to 9 lbs R-410a,RUMI,1379.29,0.9,324.00,865.00,462.86,"Using available charts or superheat method, recharge unit using up to 9lbs R-410a"
HVAC,Service and Refrigerant Adjustment,ACR0240,Remove Refrigerant to Correct an Overcharge,MEMBER,219.55,0.25,18.00,865.00,27.69,Remove and dispose of excess refrigerant resulting from an overcharge condition.
HVAC,Service and Refrigerant Adjustment,ACR0240,Remove Refrigerant to Correct an Overcharge,STANDARD,243.94,0.25,18.00,865.00,27.69,Remove and dispose of excess refrigerant resulting from an overcharge condition.
HVAC,Service and Refrigerant Adjustment,ACR0240,Remove Refrigerant to Correct an Overcharge,RUMI,271.05,0.25,18.00,865.00,27.69,Remove and dispose of excess refrigerant resulting from an overcharge condition.
HVAC,Service and Refrigerant Adjustment,ACR0240,Refrigerant Recharge 1 to 3 lbs R-22 COMMERCIAL ONLY,MEMBER,1674.96,0.5,1000.00,865.00,1428.57,"Using available charts or superheat method, recharge unit using up to 3lbs R-22 COMMERCIAL ONLY"
HVAC,Service and Refrigerant Adjustment,ACR0240,Refrigerant Recharge 1 to 3 lbs R-22 COMMERCIAL ONLY,STANDARD,1861.07,0.5,1000.00,865.00,1428.57,"Using available charts or superheat method, recharge unit using up to 3lbs R-22 COMMERCIAL ONLY"
HVAC,Service and Refrigerant Adjustment,ACR0240,Refrigerant Recharge 1 to 3 lbs R-22 COMMERCIAL ONLY,RUMI,2067.86,0.5,1000.00,865.00,1428.57,"Using available charts or superheat method, recharge unit using up to 3lbs R-22 COMMERCIAL ONLY"
HVAC,Service and Refrigerant Adjustment,ACR0240,Replace TXV,MEMBER,1544.80,1.75,131.75,865.00,202.69,"Pump down refrigerant to coil, remove exisitng TXV, install new TXV, evacuate system, leak test, and recharge."
HVAC,Service and Refrigerant Adjustment,ACR0240,Replace TXV,STANDARD,1716.44,1.75,131.75,865.00,202.69,"Pump down refrigerant to coil, remove exisitng TXV, install new TXV, evacuate system, leak test, and recharge."
HVAC,Service and Refrigerant Adjustment,ACR0240,Replace TXV,RUMI,1907.16,1.75,131.75,865.00,202.69,"Pump down refrigerant to coil, remove exisitng TXV, install new TXV, evacuate system, leak test, and recharge."
HVAC,Service and Refrigerant Adjustment,ACR0240,Move TXV Bulb,MEMBER,396.17,0.5,5.00,865.00,7.69,"Move TXV Bulb outside the cabinet and clamp onto suction line, Reinsulate bulb."
HVAC,Service and Refrigerant Adjustment,ACR0240,Move TXV Bulb,STANDARD,440.19,0.5,5.00,865.00,7.69,"Move TXV Bulb outside the cabinet and clamp onto suction line, Reinsulate bulb."
HVAC,Service and Refrigerant Adjustment,ACR0240,Move TXV Bulb,RUMI,489.10,0.5,5.00,865.00,7.69,"Move TXV Bulb outside the cabinet and clamp onto suction line, Reinsulate bulb."
HVAC,Service and Refrigerant Adjustment,ACR0240,Evacuate and Recharge up to 2.5 Ton System R-410a,MEMBER,1250.84,1.25,216.00,865.00,308.57,"Remove existing refrigerant, pull vacuum on system, recharge with new refrigerant."
HVAC,Service and Refrigerant Adjustment,ACR0240,Evacuate and Recharge up to 2.5 Ton System R-410a,STANDARD,1389.82,1.25,216.00,865.00,308.57,"Remove existing refrigerant, pull vacuum on system, recharge with new refrigerant."
HVAC,Service and Refrigerant Adjustment,ACR0240,Evacuate and Recharge up to 2.5 Ton System R-410a,RUMI,1544.25,1.25,216.00,865.00,308.57,"Remove existing refrigerant, pull vacuum on system, recharge with new refrigerant."
HVAC,Service and Refrigerant Adjustment,ACR0240,Evacuate and Recharge 3 to 3.5 Ton System R-410a,MEMBER,1435.98,1.25,360.00,865.00,514.29,"Remove existing refrigerant, pull vacuum on system, recharge with new refrigerant."
HVAC,Service and Refrigerant Adjustment,ACR0240,Evacuate and Recharge 3 to 3.5 Ton System R-410a,STANDARD,1595.54,1.25,360.00,865.00,514.29,"Remove existing refrigerant, pull vacuum on system, recharge with new refrigerant."
HVAC,Service and Refrigerant Adjustment,ACR0240,Evacuate and Recharge 3 to 3.5 Ton System R-410a,RUMI,1772.82,1.25,360.00,865.00,514.29,"Remove existing refrigerant, pull vacuum on system, recharge with new refrigerant."
HVAC,Service and Refrigerant Adjustment,ACR0240,Evacuate and Recharge 4 Ton System R-410a,MEMBER,1769.46,1.5,468.00,865.00,668.57,"Remove existing refrigerant, pull vacuum on system, recharge with new refrigerant."
HVAC,Service and Refrigerant Adjustment,ACR0240,Evacuate and Recharge 4 Ton System R-410a,STANDARD,1966.07,1.5,468.00,865.00,668.57,"Remove existing refrigerant, pull vacuum on system, recharge with new refrigerant."
HVAC,Service and Refrigerant Adjustment,ACR0240,Evacuate and Recharge 4 Ton System R-410a,RUMI,2184.52,1.5,468.00,865.00,668.57,"Remove existing refrigerant, pull vacuum on system, recharge with new refrigerant."
HVAC,Service and Refrigerant Adjustment,ACR0240,Evacuate and Recharge 5 Ton System R-410a,MEMBER,3713.46,1.5,1980.00,865.00,2828.57,"Remove existing refrigerant, pull vacuum on system, recharge with new refrigerant."
HVAC,Service and Refrigerant Adjustment,ACR0240,Evacuate and Recharge 5 Ton System R-410a,STANDARD,4126.07,1.5,1980.00,865.00,2828.57,"Remove existing refrigerant, pull vacuum on system, recharge with new refrigerant."
HVAC,Service and Refrigerant Adjustment,ACR0240,Evacuate and Recharge 5 Ton System R-410a,RUMI,4584.52,1.5,1980.00,865.00,2828.57,"Remove existing refrigerant, pull vacuum on system, recharge with new refrigerant."
HVAC,Service and Refrigerant Adjustment,ACR0240,100K Mile Tune-Up (Over $550 Savings),MEMBER,2120.71,2.5,126.00,865.00,193.85,"Clean evaporator coil, clean condenser coil, flush drain line, replace contactor, replace capcitors, install start assist device, add algae tablets, adjust refrigerant charge."
HVAC,Service and Refrigerant Adjustment,ACR0240,100K Mile Tune-Up (Over $550 Savings),STANDARD,2356.35,2.5,126.00,865.00,193.85,"Clean evaporator coil, clean condenser coil, flush drain line, replace contactor, replace capcitors, install start assist device, add algae tablets, adjust refrigerant charge."
HVAC,Service and Refrigerant Adjustment,ACR0240,100K Mile Tune-Up (Over $550 Savings),RUMI,2618.16,2.5,126.00,865.00,193.85,"Clean evaporator coil, clean condenser coil, flush drain line, replace contactor, replace capcitors, install start assist device, add algae tablets, adjust refrigerant charge."
HVAC,Refrigerant Leak Search,ACR0240,Leak Detection - Electronic Leak Detector,MEMBER,316.50,0.4,3.68,865.00,5.66,"Perform electronic leak detection to locate a refrigerant leak, no evacuation or removal of parts"
HVAC,Refrigerant Leak Search,ACR0240,Leak Detection - Electronic Leak Detector,STANDARD,351.66,0.4,3.68,865.00,5.66,"Perform electronic leak detection to locate a refrigerant leak, no evacuation or removal of parts"
HVAC,Refrigerant Leak Search,ACR0240,Leak Detection - Electronic Leak Detector,RUMI,390.74,0.4,3.68,865.00,5.66,"Perform electronic leak detection to locate a refrigerant leak, no evacuation or removal of parts"
HVAC,Refrigerant Leak Search,ACR0240,Ultra Violet Dye Injection & Leak Detection,MEMBER,731.71,0.75,106.77,865.00,164.26,Install ultra violet dye cartridge and circulate through the system for 2 weeks.  Detect leak using ultraviolet light and goggles. Return trip included.
HVAC,Refrigerant Leak Search,ACR0240,Ultra Violet Dye Injection & Leak Detection,STANDARD,813.01,0.75,106.77,865.00,164.26,Install ultra violet dye cartridge and circulate through the system for 2 weeks.  Detect leak using ultraviolet light and goggles. Return trip included.
HVAC,Refrigerant Leak Search,ACR0240,Ultra Violet Dye Injection & Leak Detection,RUMI,903.35,0.75,106.77,865.00,164.26,Install ultra violet dye cartridge and circulate through the system for 2 weeks.  Detect leak using ultraviolet light and goggles. Return trip included.
HVAC,Refrigerant Leak Search,ACR0240,Isolation Leak Test,MEMBER,1258.37,1.5,65.45,865.00,100.69,"Identify source of leak by sectioning off the evaporator coil, condenser coil, and lineset and charging with nitrogen.  Return to see which section leaks down."
HVAC,Refrigerant Leak Search,ACR0240,Isolation Leak Test,STANDARD,1398.19,1.5,65.45,865.00,100.69,"Identify source of leak by sectioning off the evaporator coil, condenser coil, and lineset and charging with nitrogen.  Return to see which section leaks down."
HVAC,Refrigerant Leak Search,ACR0240,Isolation Leak Test,RUMI,1553.55,1.5,65.45,865.00,100.69,"Identify source of leak by sectioning off the evaporator coil, condenser coil, and lineset and charging with nitrogen.  Return to see which section leaks down."
HVAC,Refrigerant Leak Search,ACR0240,Leak dectection by Nitrogen,MEMBER,380.48,0.35,78.00,865.00,120.00,Test unit by pressuring up the unit lines and coil with Nitrogen to find a leak (unit is already depressurized)
HVAC,Refrigerant Leak Search,ACR0240,Leak dectection by Nitrogen,STANDARD,422.75,0.35,78.00,865.00,120.00,Test unit by pressuring up the unit lines and coil with Nitrogen to find a leak (unit is already depressurized)
HVAC,Refrigerant Leak Search,ACR0240,Leak dectection by Nitrogen,RUMI,469.72,0.35,78.00,865.00,120.00,Test unit by pressuring up the unit lines and coil with Nitrogen to find a leak (unit is already depressurized)
HVAC,Refrigerant Leak Search,ACR0240,Leak dectection by Nitrogen,MEMBER,652.95,0.7,78.00,865.00,120.00,Bring refrigerant back to the unit and test the remaining by pressuring up the  lines and coil with Nitrogen to find a leak (unit is still pressurized)
HVAC,Refrigerant Leak Search,ACR0240,Leak dectection by Nitrogen,STANDARD,725.50,0.7,78.00,865.00,120.00,Bring refrigerant back to the unit and test the remaining by pressuring up the  lines and coil with Nitrogen to find a leak (unit is still pressurized)
HVAC,Refrigerant Leak Search,ACR0240,Leak dectection by Nitrogen,RUMI,806.11,0.7,78.00,865.00,120.00,Bring refrigerant back to the unit and test the remaining by pressuring up the  lines and coil with Nitrogen to find a leak (unit is still pressurized)
HVAC,Refrigerant Leak Search,ACR0240,Repair Refrigerant Leak in System,MEMBER,1092.66,1.25,86.33,865.00,132.82,"Repair leak by pumping down refrigerant to condenser, brazing & sealing leak using alloy, pulling vacuum on system and recharging."
HVAC,Refrigerant Leak Search,ACR0240,Repair Refrigerant Leak in System,STANDARD,1214.07,1.25,86.33,865.00,132.82,"Repair leak by pumping down refrigerant to condenser, brazing & sealing leak using alloy, pulling vacuum on system and recharging."
HVAC,Refrigerant Leak Search,ACR0240,Repair Refrigerant Leak in System,RUMI,1348.96,1.25,86.33,865.00,132.82,"Repair leak by pumping down refrigerant to condenser, brazing & sealing leak using alloy, pulling vacuum on system and recharging."
HVAC,Valves,ACR0240,Replace (1) Service Valve on Condenser,MEMBER,868.50,1,65.00,865.00,100.00,Replace defective/leaking service valve with new
HVAC,Valves,ACR0240,Replace (1) Service Valve on Condenser,STANDARD,965.00,1,65.00,865.00,100.00,Replace defective/leaking service valve with new
HVAC,Valves,ACR0240,Replace (1) Service Valve on Condenser,RUMI,1072.22,1,65.00,865.00,100.00,Replace defective/leaking service valve with new
HVAC,Freeze Stat,ACR0240,Install a freeze stat,MEMBER,161.45,0.1,60.38,865.00,92.89,Supply new or replace exisitng freeze stat on coil
HVAC,Freeze Stat,ACR0240,Install a freeze stat,STANDARD,179.39,0.1,60.38,865.00,92.89,Supply new or replace exisitng freeze stat on coil
